# brand<TAB>ingredient(s) — FULL RxNorm (public domain), dumped from the ingested
# rxnorm_atoms/rxnorm_rel (rxnorm-20260706). ';'-sep combos; loader takes first.
# First ingredient prefers the name PrimeKG uses (via --primekg-names).
# Regenerate: scripts/rxnorm_ingest.py then build_rxnorm_table.py --from-db
allegra-d	fexofenadine;pseudoephedrine
aller-chlor	chlorpheniramine;chlorphenamine
aller-cort	triamcinolone
aller-flo	fluticasone
aller-tec	cetirizine
aller-tec d	cetirizine;pseudoephedrine
allercaine	lidocaine;benzalkonium
allerclear	loratadine;pseudoephedrine;loratadine, micronized
allercon	triprolidine;pseudoephedrine
allerest 12 hour nasal spray	oxymetazoline
allerest eye drops	naphazoline
allerfrim	triprolidine;pseudoephedrine
allerfrin with codeine	codeine;triprolidine;pseudoephedrine
allergia-c	diphenhydramine
allerhist-1	clemastine
allerhist-d	clemastine;phenylpropanolamine
allerlief	chlorpheniramine;chlorphenamine
allermax	diphenhydramine
allernaze	triamcinolone
alleroff	cetirizine
allersol	naphazoline
allersol-a	naphazoline;pheniramine
allerx-d	methscopolamine;pseudoephedrine;methylscopolamine
allfen	guaifenesin
allfen c	guaifenesin;pentoxyverine;carbetapentane
allfen cd	codeine;guaifenesin
allfen cdx	codeine;guaifenesin
allfen cx	guaifenesin;pentoxyverine;carbetapentane
allfen jr	guaifenesin
alli	orlistat
alloxate	meloxicam
allres-g	guaifenesin;pentoxyverine;carbetapentane
allzital	butalbital;acetaminophen;paracetamol
almacone	aluminum hydroxide;magnesium hydroxide;simethicone;aluminium hydroxide;aluminum (as hydroxide)
almora	magnesium gluconate;magnesium (as gluconate)
alo	histamine;menthol
alocane	lidocaine
alocane anti-itch	hydrocortisone
alocane max strength	lidocaine;benzalkonium
alocane plus	lidocaine;benzalkonium
alocril	nedocromil
alodox	doxycycline
aloe cort	hydrocortisone
aloe vesta	miconazole
aloe vesta 2 in 1 antifungal	miconazole
aloe vesta antifungal	miconazole
aloe vesta daily moisturizer	dimethicone;dimeticone
aloe vesta protective	petrolatum;petrolatum,white;white petrolatum;petrolatum, yellow
aloe vesta protective barrier	petrolatum;petrolatum,white;white petrolatum;petrolatum, yellow
aloe vesta skin conditioner	dimethicone;dimeticone
aloh-gel	aluminum hydroxide;aluminium hydroxide;aluminum (as hydroxide)
alomide	lodoxamide
alophen	bisacodyl
alophen reformulated jan 2008	bisacodyl
aloprim	allopurinol;allopurinol sodium (as allopurinol)
aloquin	diiodohydroxyquinoline;iodoquinol;aloe polysaccharide
alor 5/500	hydrocodone;acetylsalicylic acid;aspirin
alora	estradiol;17 beta-estradiol;estradiol 17-beta
aloxi	palonosetron
alpain	acetaminophen;phenyltoloxamine;paracetamol
alpha-caine	benzocaine
alphagan	brimonidine
alphanate	factor viii;antihemophilic factor;von willebrand factor;coagulation factor viii;antihaemophilic globulin;antihemophilic factor viii
alphanine sd	factor ix;coagulation factor ix
alphaquin hp	hydroquinone
alphatrex	betamethasone
alprolix	eftrenonacog alfa;coagulation factor ix (recombinant), fc fusion protein;coagulation factor ix recombinant immunoglobulin g1 fusion protein
alrex	loteprednol etabonate
alsuma	sumatriptan
altabax	retapamulin
altacaine	tetracaine
altace	ramipril
altafed	triprolidine;pseudoephedrine
altafluor	fluorescein;oxybuprocaine;benoxinate
altalube	mineral oil;petrolatum;liquid paraffin;paraffin,liquid;petrolatum,white;white petrolatum;petrolatum, yellow
altamist	sodium chloride
altaryl	diphenhydramine
altazine	tetryzoline;tetrahydrozoline
altenol	acetaminophen;paracetamol
alternagel	aluminum hydroxide;aluminium hydroxide;aluminum (as hydroxide)
altinac	tretinoin
altocor	lovastatin
altoprev	lovastatin
altorant	guaifenesin
altren	altrenogest
altreno	tretinoin
altuviiio	efanesoctocog alfa;antihemophilic factor-recombinant, fc-vwf-xten fusion protein;antihemophilic factor (recombinant), fc-vwf-xten fusion protein
alu-cap	aluminum hydroxide;aluminium hydroxide;aluminum (as hydroxide)
alu-tab	aluminum hydroxide;aluminium hydroxide;aluminum (as hydroxide)
alunbrig	brigatinib
alupent	orciprenaline;metaproterenol
alustra	hydroquinone
aluvea	urea;carbamide
alvaiz	eltrombopag
alvesco	ciclesonide
alyftrek	tezacaftor;vanzacaftor;deutivacaftor
alyglo	immunoglobulin g;immune globulin,gamma (igg) human
alymsys	bevacizumab
alyq	tadalafil
amaryl	glimepiride
ambenyl	codeine;bromodiphenhydramine;bromazine
ambien	zolpidem
ambifed cd	codeine;guaifenesin;pseudoephedrine
ambifed-g cd	codeine;guaifenesin;pseudoephedrine
ambisome	amphotericin b
amcort	triamcinolone
ameluz	aminolevulinic acid
amen	medroxyprogesterone
amerge	naratriptan
americaine	benzocaine
americaine anesthetic lubricant	benzocaine
americaine hemorrhoidal	benzocaine
americaine otic	benzocaine
americet	caffeine;butalbital;acetaminophen;paracetamol
amerithroid	thyroid;thyroid (usp)
amevive	alefacept
amficot	ampicillin
ami-rax	ephedrine;hydroxyzine;theophylline;aminophylline (as theophylline)
amicar	aminocaproic acid;6-aminocaproic acid
amidate	etomidate
amidrine	acetaminophen;isometheptene;dichloralphenazone;paracetamol
amigesic	salsalate
amikin	amikacin
amilac	calcium carbonate;calcarea carbonica;calcium (as carbonate);calcium (as calcium carbonate)
amino-cerv	urea;cysteine;inositol;methionine;carbamide;l-cysteine;l-methionine;sodium propionate
amino-opti-e	vitamin e;tocopherol (vit e);vitamin e (tocopherol)
aminosyn 10%, sulfite-free	serine;valine;alanine;glycine;leucine;proline;arginine;l-lysine;tyrosine;histidine;threonine;isoleucine;methionine;tryptophan;phenylalanine;lysine;l-valine;l-leucine;l-proline;l-arginine;l-tyrosine;l-threonine;l-isoleucine;l-methionine;l-tryptophan;l-phenylalanine;glycine urologic solution
aminosyn 3.5 % m, sulfite free	serine;valine;alanine;glycine;leucine;proline;arginine;l-lysine;tyrosine;histidine;threonine;isoleucine;methionine;tryptophan;phenylalanine;phosphoric acid;sodium chloride;magnesium acetate;potassium acetate;lysine;l-valine;l-leucine;l-proline;l-arginine;l-tyrosine;l-threonine;l-isoleucine;l-methionine;l-tryptophan;l-phenylalanine;glycine urologic solution
aminosyn 8.5 % with electrolytes, sulfite-free	serine;valine;alanine;glycine;leucine;proline;arginine;l-lysine;tyrosine;histidine;threonine;isoleucine;methionine;tryptophan;phenylalanine;sodium chloride;magnesium chloride;potassium chloride;lysine;l-valine;l-leucine;l-proline;l-arginine;l-tyrosine;l-threonine;l-isoleucine;l-methionine;l-tryptophan;l-phenylalanine;sodium phosphate;chloride (as potassium);potassium (as chloride);glycine urologic solution;magnesium (as magnesium chloride)
aminosyn 8.5%, sulfite-free	serine;valine;alanine;glycine;leucine;proline;arginine;l-lysine;tyrosine;histidine;threonine;isoleucine;methionine;tryptophan;phenylalanine;lysine;l-valine;l-leucine;l-proline;l-arginine;l-tyrosine;l-threonine;l-isoleucine;l-methionine;l-tryptophan;l-phenylalanine;glycine urologic solution
aminosyn ii 10 %	serine;valine;alanine;glycine;leucine;proline;arginine;l-lysine;tyrosine;histidine;threonine;isoleucine;methionine;tryptophan;phenylalanine;lysine;l-valine;aspartate;glutamate;l-leucine;l-proline;l-arginine;l-tyrosine;l-threonine;l-isoleucine;l-methionine;l-tryptophan;l-phenylalanine;glycine urologic solution
aminosyn ii 15%	serine;valine;alanine;glycine;leucine;proline;arginine;l-lysine;tyrosine;histidine;threonine;isoleucine;methionine;tryptophan;phenylalanine;lysine;l-valine;aspartate;glutamate;l-leucine;l-proline;l-arginine;l-tyrosine;l-threonine;l-isoleucine;l-methionine;l-tryptophan;l-phenylalanine;glycine urologic solution
aminosyn ii 8.5 % with electrolytes, sulfite-free	serine;valine;alanine;glycine;leucine;proline;arginine;l-lysine;tyrosine;histidine;threonine;isoleucine;methionine;tryptophan;phenylalanine;sodium chloride;magnesium chloride;potassium chloride;lysine;l-valine;aspartate;glutamate;l-leucine;l-proline;l-arginine;l-tyrosine;l-threonine;l-isoleucine;l-methionine;l-tryptophan;l-phenylalanine;chloride (as potassium);potassium (as chloride);dibasic sodium phosphate;sodium phosphate dibasic;sodium phosphate,dibasic;glycine urologic solution;sodium phosphate, dibasic;disodium hydrogen phosphate;magnesium (as magnesium chloride);sodium phosphate, dibasic, unspecified form
aminosyn ii 8.5 %, sulfite-free	serine;valine;alanine;glycine;leucine;proline;arginine;l-lysine;tyrosine;histidine;threonine;isoleucine;methionine;tryptophan;phenylalanine;lysine;l-valine;aspartate;glutamate;l-leucine;l-proline;l-arginine;l-tyrosine;l-threonine;l-isoleucine;l-methionine;l-tryptophan;l-phenylalanine;glycine urologic solution
aminosyn-hbc 7 %, sulfite-free	serine;valine;alanine;glycine;leucine;proline;arginine;l-lysine;tyrosine;histidine;threonine;isoleucine;methionine;tryptophan;phenylalanine;lysine;l-valine;l-leucine;l-proline;l-arginine;l-tyrosine;l-threonine;l-isoleucine;l-methionine;l-tryptophan;l-phenylalanine;glycine urologic solution
aminosyn-pf 10 %, sulfite-free	serine;valine;alanine;glycine;leucine;proline;taurine;arginine;l-lysine;tyrosine;histidine;threonine;isoleucine;methionine;tryptophan;phenylalanine;lysine;l-valine;aspartate;glutamate;l-leucine;l-proline;l-arginine;l-tyrosine;l-threonine;l-isoleucine;l-methionine;l-tryptophan;l-phenylalanine;glycine urologic solution
aminosyn-pf 7%	serine;valine;alanine;glycine;leucine;proline;taurine;arginine;l-lysine;tyrosine;histidine;threonine;isoleucine;methionine;tryptophan;phenylalanine;lysine;l-valine;aspartate;glutamate;l-leucine;l-proline;l-arginine;l-tyrosine;l-threonine;l-isoleucine;l-methionine;l-tryptophan;l-phenylalanine;glycine urologic solution
amitiza	lubiprostone
amjevita	adalimumab
amlactin	lactate
amlactin ap	pramocaine;lactate;pramoxine
ammens	zinc oxide;zinc (as oxide);zinc (as zinc oxide)
ammonul	benzoate;phenylacetate
amnesteem	isotretinoin
amondys 45	casimersen
amoxi drop	amoxicillin
amoxi-tabs	amoxicillin
amoxicot	amoxicillin
amoxil	amoxicillin
amphadase	hyaluronidase
amphojel	aluminum hydroxide;aluminium hydroxide;aluminum (as hydroxide)
amprid	amprolium
amprol	amprolium
ampromax	amprolium
ampromed for calves	amprolium
ampromed-p	amprolium
ampyra	dalfampridine;fampridine;fampridine (4-aminopyridine)
amrix	cyclobenzaprine
amtagvi	lifileucel
amturnide	aliskiren;amlodipine;hydrochlorothiazide
amtussin	hydrocodone;pseudoephedrine;chlorpheniramine;chlorphenamine
amvisc	hyaluronate
amvuttra	vutrisiran
amytal	amobarbital
amzeeq	minocycline
ana-guard	epinephrine
ana-lex	lidocaine;hydrocortisone
anabar	salicylamide;acetaminophen;phenyltoloxamine;paracetamol
anabolin la	nandrolone
anacaine	benzocaine
anacin	caffeine;acetylsalicylic acid;aspirin
anacin advanced headache formula	caffeine;acetaminophen;acetylsalicylic acid;aspirin;paracetamol
anacin af	acetaminophen;paracetamol
